county_fips,county_name,state_name,date,county_vmt,baseline_jan_vmt,percent_change_from_jan,mean7_county_vmt,mean7_percent_change_from_jan,date_at_low,mean7_county_vmt_at_low,percent_change_from_low
48157,Fort Bend,Texas,3/11/20,47400000,34875882,35.91,52985714.29,51.93,4/10/20,7191428.57,636.79
48157,Fort Bend,Texas,3/12/20,50200000,34875882,43.94,52728571.43,51.19,4/10/20,7191428.57,633.21
48157,Fort Bend,Texas,3/13/20,49800000,34875882,42.79,51471428.57,47.58,4/10/20,7191428.57,615.73
48157,Fort Bend,Texas,3/10/20,43200000,34875882,23.87,51214285.71,46.85,4/10/20,7191428.57,612.16
48157,Fort Bend,Texas,3/9/20,45700000,34875882,31.04,49657142.86,42.38,4/10/20,7191428.57,590.5
48157,Fort Bend,Texas,3/14/20,42600000,34875882,22.15,47885714.29,37.3,4/10/20,7191428.57,565.87
48157,Fort Bend,Texas,3/8/20,56300000,34875882,61.43,47814285.71,37.1,4/10/20,7191428.57,564.88
48157,Fort Bend,Texas,3/7/20,67700000,34875882,94.12,45000000,29.03,4/10/20,7191428.57,525.74
48157,Fort Bend,Texas,3/15/20,31100000,34875882,-10.83,44285714.29,26.98,4/10/20,7191428.57,515.81
48157,Fort Bend,Texas,3/16/20,21300000,34875882,-38.93,40800000,16.99,4/10/20,7191428.57,467.34
48157,Fort Bend,Texas,3/17/20,18300000,34875882,-47.53,37242857.14,6.79,4/10/20,7191428.57,417.88
48167,Galveston,Texas,3/12/20,29400000,19131266,53.68,30100000,57.33,4/9/20,5825714.29,416.67
48339,Montgomery,Texas,3/12/20,61700000,41917785,47.19,62942857.14,50.16,4/8/20,12334285.71,410.31
48167,Galveston,Texas,3/11/20,27500000,19131266,43.74,29471428.57,54.05,4/9/20,5825714.29,405.89
48167,Galveston,Texas,3/13/20,28800000,19131266,50.54,29328571.43,53.3,4/9/20,5825714.29,403.43
48339,Montgomery,Texas,3/11/20,57900000,41917785,38.13,62085714.29,48.11,4/8/20,12334285.71,403.36
48339,Montgomery,Texas,3/13/20,63400000,41917785,51.25,60742857.14,44.91,4/8/20,12334285.71,392.47
48339,Montgomery,Texas,3/10/20,51800000,41917785,23.58,60228571.43,43.68,4/8/20,12334285.71,388.3
48167,Galveston,Texas,3/10/20,27600000,19131266,44.27,28371428.57,48.3,4/9/20,5825714.29,387
48339,Montgomery,Texas,3/9/20,52700000,41917785,25.72,58914285.71,40.55,4/8/20,12334285.71,377.65
48167,Galveston,Texas,3/14/20,23700000,19131266,23.88,27342857.14,42.92,4/9/20,5825714.29,369.35
48167,Galveston,Texas,3/9/20,23900000,19131266,24.93,27200000,42.18,4/9/20,5825714.29,366.9
48339,Montgomery,Texas,3/8/20,62100000,41917785,48.15,57528571.43,37.24,4/8/20,12334285.71,366.41
48339,Montgomery,Texas,3/14/20,49800000,41917785,18.8,57057142.86,36.12,4/8/20,12334285.71,362.59
48201,Harris,Texas,3/12/20,271000000,208292804,30.11,281428571.43,35.11,4/10/20,61714285.71,356.02
48157,Fort Bend,Texas,3/18/20,15300000,34875882,-56.13,32657142.86,-6.36,4/10/20,7191428.57,354.11
48201,Harris,Texas,3/11/20,269000000,208292804,29.15,279285714.29,34.08,4/10/20,61714285.71,352.55
48167,Galveston,Texas,3/8/20,30500000,19131266,59.42,26300000,37.47,4/9/20,5825714.29,351.45
48039,Brazoria,Texas,3/12/20,27000000,19953830,35.31,28928571.43,44.98,4/8/20,6410000,351.3
48201,Harris,Texas,3/13/20,297000000,208292804,42.59,277857142.86,33.4,4/10/20,61714285.71,350.23
48039,Brazoria,Texas,3/11/20,26200000,19953830,31.3,28814285.71,44.4,4/8/20,6410000,349.52
48339,Montgomery,Texas,3/7/20,75600000,41917785,80.35,55171428.57,31.62,4/8/20,12334285.71,347.3
48039,Brazoria,Texas,3/13/20,29900000,19953830,49.85,28428571.43,42.47,4/8/20,6410000,343.5
48167,Galveston,Texas,3/15/20,19400000,19131266,1.4,25757142.86,34.63,4/9/20,5825714.29,342.13
48201,Harris,Texas,3/10/20,246000000,208292804,18.1,271142857.14,30.17,4/10/20,61714285.71,339.35
48039,Brazoria,Texas,3/10/20,25600000,19953830,28.3,28028571.43,40.47,4/8/20,6410000,337.26
48339,Montgomery,Texas,3/15/20,39400000,41917785,-6.01,53814285.71,28.38,4/8/20,12334285.71,336.3
48201,Harris,Texas,3/14/20,254000000,208292804,21.94,268000000,28.67,4/10/20,61714285.71,334.26
48167,Galveston,Texas,3/7/20,37600000,19131266,96.54,25071428.57,31.05,4/9/20,5825714.29,330.36
48201,Harris,Texas,3/9/20,258000000,208292804,23.86,264857142.86,27.16,4/10/20,61714285.71,329.17
48039,Brazoria,Texas,3/9/20,26500000,19953830,32.81,27242857.14,36.53,4/8/20,6410000,325.01
48167,Galveston,Texas,3/16/20,14400000,19131266,-24.73,24400000,27.54,4/9/20,5825714.29,318.83
48039,Brazoria,Texas,3/14/20,22900000,19953830,14.76,26728571.43,33.95,4/8/20,6410000,316.98
48201,Harris,Texas,3/8/20,281000000,208292804,34.91,256142857.14,22.97,4/10/20,61714285.71,315.05
48201,Harris,Texas,3/15/20,195000000,208292804,-6.38,255714285.71,22.77,4/10/20,61714285.71,314.35
48339,Montgomery,Texas,3/16/20,29900000,41917785,-28.67,50557142.86,20.61,4/8/20,12334285.71,309.89
48039,Brazoria,Texas,3/8/20,29000000,19953830,45.34,26142857.14,31.02,4/8/20,6410000,307.84
48201,Harris,Texas,3/7/20,323000000,208292804,55.07,248428571.43,19.27,4/10/20,61714285.71,302.55
48039,Brazoria,Texas,3/15/20,19400000,19953830,-2.78,25357142.86,27.08,4/8/20,6410000,295.59
48039,Brazoria,Texas,3/7/20,34800000,19953830,74.4,25271428.57,26.65,4/8/20,6410000,294.25
48201,Harris,Texas,3/16/20,155000000,208292804,-25.59,241000000,15.7,4/10/20,61714285.71,290.51
48157,Fort Bend,Texas,3/19/20,14200000,34875882,-59.28,27514285.71,-21.11,4/10/20,7191428.57,282.6
48339,Montgomery,Texas,3/17/20,27300000,41917785,-34.87,47057142.86,12.26,4/8/20,12334285.71,281.51
48167,Galveston,Texas,3/17/20,11300000,19131266,-40.93,22071428.57,15.37,4/9/20,5825714.29,278.86
48039,Brazoria,Texas,3/16/20,13600000,19953830,-31.84,23514285.71,17.84,4/8/20,6410000,266.84
48201,Harris,Texas,3/17/20,136000000,208292804,-34.71,225285714.29,8.16,4/10/20,61714285.71,265.05
48339,Montgomery,Texas,3/18/20,24700000,41917785,-41.08,42314285.71,0.95,4/8/20,12334285.71,243.06
48167,Galveston,Texas,3/18/20,10900000,19131266,-43.03,19700000,2.97,4/9/20,5825714.29,238.16
48039,Brazoria,Texas,3/17/20,12100000,19953830,-39.36,21585714.29,8.18,4/8/20,6410000,236.75
48201,Harris,Texas,3/18/20,125000000,208292804,-39.99,204714285.71,-1.72,4/10/20,61714285.71,231.71
48157,Fort Bend,Texas,3/20/20,11400000,34875882,-67.31,22028571.43,-36.84,4/10/20,7191428.57,206.32
48039,Brazoria,Texas,3/18/20,11800000,19953830,-40.86,19528571.43,-2.13,4/8/20,6410000,204.66
48339,Montgomery,Texas,3/19/20,24300000,41917785,-42.03,36971428.57,-11.8,4/8/20,12334285.71,199.75
48201,Harris,Texas,3/19/20,121000000,208292804,-41.91,183285714.29,-12.01,4/10/20,61714285.71,196.99
48167,Galveston,Texas,3/19/20,10100000,19131266,-47.21,16942857.14,-11.44,4/9/20,5825714.29,190.83
48039,Brazoria,Texas,3/19/20,11400000,19953830,-42.87,17300000,-13.3,4/8/20,6410000,169.89
48201,Harris,Texas,3/20/20,97600000,208292804,-53.14,154800000,-25.68,4/10/20,61714285.71,150.83
48339,Montgomery,Texas,3/20/20,18100000,41917785,-56.82,30500000,-27.24,4/8/20,12334285.71,147.28
48167,Galveston,Texas,3/20/20,9020000,19131266,-52.85,14117142.86,-26.21,4/9/20,5825714.29,142.32
48157,Fort Bend,Texas,3/21/20,6350000,34875882,-81.79,16850000,-51.69,4/10/20,7191428.57,134.31
48039,Brazoria,Texas,3/20/20,10000000,19953830,-49.88,14457142.86,-27.55,4/8/20,6410000,125.54
48201,Harris,Texas,3/21/20,54400000,208292804,-73.88,126285714.29,-39.37,4/10/20,61714285.71,104.63
48339,Montgomery,Texas,3/21/20,9290000,41917785,-77.84,24712857.14,-41.04,4/8/20,12334285.71,100.36
48167,Galveston,Texas,3/21/20,4470000,19131266,-76.64,11370000,-40.57,4/9/20,5825714.29,95.17
48039,Brazoria,Texas,3/21/20,5440000,19953830,-72.74,11962857.14,-40.05,4/8/20,6410000,86.63
48157,Fort Bend,Texas,3/22/20,5880000,34875882,-83.14,13247142.86,-62.02,4/10/20,7191428.57,84.21
48339,Montgomery,Texas,5/8/20,28300000,41917785,-32.49,22700000,-45.85,4/8/20,12334285.71,84.04
48339,Montgomery,Texas,5/7/20,24600000,41917785,-41.31,22400000,-46.56,4/8/20,12334285.71,81.61
48157,Fort Bend,Texas,5/8/20,15800000,34875882,-54.7,13028571.43,-62.64,4/10/20,7191428.57,81.17
48157,Fort Bend,Texas,5/7/20,13700000,34875882,-60.72,12914285.71,-62.97,4/10/20,7191428.57,79.58
48167,Galveston,Texas,5/8/20,12600000,19131266,-34.14,10371428.57,-45.79,4/9/20,5825714.29,78.03
48339,Montgomery,Texas,5/6/20,22600000,41917785,-46.08,21871428.57,-47.82,4/8/20,12334285.71,77.32
48167,Galveston,Texas,5/7/20,11300000,19131266,-40.93,10314285.71,-46.09,4/9/20,5825714.29,77.05
48157,Fort Bend,Texas,5/6/20,12900000,34875882,-63.01,12671428.57,-63.67,4/10/20,7191428.57,76.2
48167,Galveston,Texas,5/6/20,9680000,19131266,-49.4,10062857.14,-47.4,4/9/20,5825714.29,72.73
48039,Brazoria,Texas,5/8/20,13700000,19953830,-31.34,11022857.14,-44.76,4/8/20,6410000,71.96
48201,Harris,Texas,3/22/20,52100000,208292804,-74.99,105871428.57,-49.17,4/10/20,61714285.71,71.55
48339,Montgomery,Texas,5/5/20,20600000,41917785,-50.86,21157142.86,-49.53,4/8/20,12334285.71,71.53
48039,Brazoria,Texas,5/7/20,12000000,19953830,-39.86,10908571.43,-45.33,4/8/20,6410000,70.18
48157,Fort Bend,Texas,5/5/20,11800000,34875882,-66.17,12115714.29,-65.26,4/10/20,7191428.57,68.47
48339,Montgomery,Texas,5/4/20,19500000,41917785,-53.48,20771428.57,-50.45,4/8/20,12334285.71,68.4
48167,Galveston,Texas,5/5/20,9420000,19131266,-50.76,9775714.29,-48.9,4/9/20,5825714.29,67.8
48339,Montgomery,Texas,5/3/20,20400000,41917785,-51.33,20542857.14,-50.99,4/8/20,12334285.71,66.55
48201,Harris,Texas,5/8/20,127000000,208292804,-39.03,102728571.43,-50.68,4/10/20,61714285.71,66.46
48039,Brazoria,Texas,5/6/20,10500000,19953830,-47.38,10622857.14,-46.76,4/8/20,6410000,65.72
48339,Montgomery,Texas,3/22/20,9180000,41917785,-78.1,20395714.29,-51.34,4/8/20,12334285.71,65.36
48201,Harris,Texas,5/7/20,109000000,208292804,-47.67,101585714.29,-51.23,4/10/20,61714285.71,64.61
48167,Galveston,Texas,5/4/20,9570000,19131266,-49.98,9521428.57,-50.23,4/9/20,5825714.29,63.44
48157,Fort Bend,Texas,5/4/20,10900000,34875882,-68.75,11752857.14,-66.3,4/10/20,7191428.57,63.43
48157,Fort Bend,Texas,3/23/20,10200000,34875882,-70.75,11661428.57,-66.56,4/10/20,7191428.57,62.16
48201,Harris,Texas,5/6/20,100000000,208292804,-51.99,99928571.43,-52.02,4/10/20,61714285.71,61.92
48339,Montgomery,Texas,5/2/20,22900000,41917785,-45.37,19957142.86,-52.39,4/8/20,12334285.71,61.8
48157,Fort Bend,Texas,5/3/20,11900000,34875882,-65.88,11554285.71,-66.87,4/10/20,7191428.57,60.67
48039,Brazoria,Texas,5/5/20,10400000,19953830,-47.88,10285714.29,-48.45,4/8/20,6410000,60.46
48167,Galveston,Texas,5/3/20,9530000,19131266,-50.19,9305714.29,-51.36,4/9/20,5825714.29,59.74
48167,Galveston,Texas,3/22/20,4840000,19131266,-74.7,9290000,-51.44,4/9/20,5825714.29,59.47
48339,Montgomery,Texas,5/1/20,26200000,41917785,-37.5,19371428.57,-53.79,4/8/20,12334285.71,57.05
48201,Harris,Texas,5/5/20,93900000,208292804,-54.92,96571428.57,-53.64,4/10/20,61714285.71,56.48
48039,Brazoria,Texas,5/4/20,9450000,19953830,-52.64,9991428.57,-49.93,4/8/20,6410000,55.87
48039,Brazoria,Texas,5/3/20,9910000,19953830,-50.34,9980000,-49.98,4/8/20,6410000,55.69
48157,Fort Bend,Texas,5/2/20,14200000,34875882,-59.28,11194285.71,-67.9,4/10/20,7191428.57,55.66
48167,Galveston,Texas,5/2/20,10500000,19131266,-45.12,9065714.29,-52.61,4/9/20,5825714.29,55.62
48039,Brazoria,Texas,3/22/20,5260000,19953830,-73.64,9942857.14,-50.17,4/8/20,6410000,55.11
48201,Harris,Texas,3/23/20,83700000,208292804,-59.82,95685714.29,-54.06,4/10/20,61714285.71,55.05
48201,Harris,Texas,5/4/20,90000000,208292804,-56.79,94600000,-54.58,4/10/20,61714285.71,53.29
48339,Montgomery,Texas,4/30/20,20900000,41917785,-50.14,18828571.43,-55.08,4/8/20,12334285.71,52.65
48039,Brazoria,Texas,5/2/20,11200000,19953830,-43.87,9731428.57,-51.23,4/8/20,6410000,51.82
48201,Harris,Texas,5/3/20,92200000,208292804,-55.74,93242857.14,-55.23,4/10/20,61714285.71,51.09
48167,Galveston,Texas,5/1/20,12200000,19131266,-36.23,8780000,-54.11,4/9/20,5825714.29,50.71
48339,Montgomery,Texas,4/29/20,17600000,41917785,-58.01,18485714.29,-55.9,4/8/20,12334285.71,49.87
48157,Fort Bend,Texas,5/1/20,15000000,34875882,-56.99,10765714.29,-69.13,4/10/20,7191428.57,49.7
48339,Montgomery,Texas,3/23/20,16100000,41917785,-61.59,18424285.71,-56.05,4/8/20,12334285.71,49.37
48339,Montgomery,Texas,4/28/20,17900000,41917785,-57.3,18314285.71,-56.31,4/8/20,12334285.71,48.48
48157,Fort Bend,Texas,3/24/20,10800000,34875882,-69.03,10590000,-69.64,4/10/20,7191428.57,47.26
48339,Montgomery,Texas,4/27/20,17900000,41917785,-57.3,18157142.86,-56.68,4/8/20,12334285.71,47.21
48201,Harris,Texas,5/2/20,107000000,208292804,-48.63,90814285.71,-56.4,4/10/20,61714285.71,47.15
48039,Brazoria,Texas,5/1/20,12900000,19953830,-35.35,9407142.86,-52.86,4/8/20,6410000,46.76
48167,Galveston,Texas,4/30/20,9540000,19131266,-50.13,8522857.14,-55.45,4/9/20,5825714.29,46.3
48201,Harris,Texas,3/24/20,92200000,208292804,-55.74,89428571.43,-57.07,4/10/20,61714285.71,44.91
48157,Fort Bend,Texas,4/30/20,12000000,34875882,-65.59,10365714.29,-70.28,4/10/20,7191428.57,44.14
48167,Galveston,Texas,3/23/20,8050000,19131266,-57.92,8382857.14,-56.18,4/9/20,5825714.29,43.89
48339,Montgomery,Texas,4/26/20,16300000,41917785,-61.11,17742857.14,-57.67,4/8/20,12334285.71,43.85
48039,Brazoria,Texas,3/23/20,8370000,19953830,-58.05,9195714.29,-53.92,4/8/20,6410000,43.46
48201,Harris,Texas,5/1/20,119000000,208292804,-42.87,88257142.86,-57.63,4/10/20,61714285.71,43.01
48039,Brazoria,Texas,4/30/20,10000000,19953830,-49.88,9164285.71,-54.07,4/8/20,6410000,42.97
48167,Galveston,Texas,4/29/20,7670000,19131266,-59.91,8328571.43,-56.47,4/9/20,5825714.29,42.96
48167,Galveston,Texas,4/27/20,8060000,19131266,-57.87,8275714.29,-56.74,4/9/20,5825714.29,42.05
48167,Galveston,Texas,4/28/20,7640000,19131266,-60.07,8267142.86,-56.79,4/9/20,5825714.29,41.91
48039,Brazoria,Texas,4/29/20,8140000,19953830,-59.21,8988571.43,-54.95,4/8/20,6410000,40.23
48157,Fort Bend,Texas,4/27/20,9510000,34875882,-72.73,10074285.71,-71.11,4/10/20,7191428.57,40.09
48039,Brazoria,Texas,4/28/20,8340000,19953830,-58.2,8977142.86,-55.01,4/8/20,6410000,40.05
48157,Fort Bend,Texas,4/28/20,9260000,34875882,-73.45,10065714.29,-71.14,4/10/20,7191428.57,39.97
48039,Brazoria,Texas,4/27/20,9370000,19953830,-53.04,8968571.43,-55.05,4/8/20,6410000,39.92
48157,Fort Bend,Texas,4/29/20,9010000,34875882,-74.17,10050000,-71.18,4/10/20,7191428.57,39.75
48167,Galveston,Texas,4/26/20,7850000,19131266,-58.97,8102857.14,-57.65,4/9/20,5825714.29,39.09
48201,Harris,Texas,4/30/20,97400000,208292804,-53.24,85685714.29,-58.86,4/10/20,61714285.71,38.84
48157,Fort Bend,Texas,4/26/20,9380000,34875882,-73.1,9931428.57,-71.52,4/10/20,7191428.57,38.1
48339,Montgomery,Texas,3/24/20,17300000,41917785,-58.73,16995714.29,-59.45,4/8/20,12334285.71,37.79
48167,Galveston,Texas,3/24/20,8350000,19131266,-56.35,7961428.57,-58.39,4/9/20,5825714.29,36.66
48339,Montgomery,Texas,4/25/20,18800000,41917785,-55.15,16827142.86,-59.86,4/8/20,12334285.71,36.43
48039,Brazoria,Texas,3/24/20,8900000,19953830,-55.4,8738571.43,-56.21,4/8/20,6410000,36.33
48201,Harris,Texas,4/28/20,80100000,208292804,-61.54,83800000,-59.77,4/10/20,61714285.71,35.79
48039,Brazoria,Texas,4/26/20,8170000,19953830,-59.06,8701428.57,-56.39,4/8/20,6410000,35.75
48201,Harris,Texas,4/27/20,80500000,208292804,-61.35,83742857.14,-59.8,4/10/20,61714285.71,35.69
48201,Harris,Texas,4/29/20,76500000,208292804,-63.27,83700000,-59.82,4/10/20,61714285.71,35.62
48157,Fort Bend,Texas,3/25/20,8940000,34875882,-74.37,9681428.57,-72.24,4/10/20,7191428.57,34.62
48201,Harris,Texas,4/26/20,75200000,208292804,-63.9,82571428.57,-60.36,4/10/20,61714285.71,33.8
48201,Harris,Texas,3/25/20,75400000,208292804,-63.8,82342857.14,-60.47,4/10/20,61714285.71,33.43
48167,Galveston,Texas,4/25/20,8500000,19131266,-55.57,7750000,-59.49,4/9/20,5825714.29,33.03
48157,Fort Bend,Texas,4/25/20,11200000,34875882,-67.89,9438571.43,-72.94,4/10/20,7191428.57,31.25
48039,Brazoria,Texas,4/25/20,8930000,19953830,-55.25,8368571.43,-58.06,4/8/20,6410000,30.55
48339,Montgomery,Texas,4/24/20,22400000,41917785,-46.56,16098571.43,-61.59,4/8/20,12334285.71,30.52
48167,Galveston,Texas,4/24/20,10400000,19131266,-45.64,7531428.57,-60.63,4/9/20,5825714.29,29.28
48039,Brazoria,Texas,3/25/20,7990000,19953830,-59.96,8194285.71,-58.93,4/8/20,6410000,27.84
48201,Harris,Texas,4/25/20,89100000,208292804,-57.22,78842857.14,-62.15,4/10/20,61714285.71,27.75
48339,Montgomery,Texas,3/25/20,15900000,41917785,-62.07,15738571.43,-62.45,4/8/20,12334285.71,27.6
